Timestamp, Frame, Slot, IMSI, RNTI, UID, UE_No, DL_THR, UL_THR, ,PH_dB, PCMAX_dBm, AVG_RSRP, CQI, RI, raw_rssi, ul_rssi, dl_max_mcs, sched_ul_bytes, estimated_ul_buffer, num_total_bytes, dl_pdus_total, ,dl_BLER, dl_MCS, dlsch_errors, dlsch_total_bytes, dlsch_current_bytes, dlsch_total_rbs, dlsch_current_rbs, dl_num_mac_sdu, dl_lc4_bytes, dl_lc4_id, dl_lc4_sst,dl_lc4_sd, dl_lc5_bytes, dl_lc5_id, dl_lc5_sst,dl_lc5_sd, ,ul_BLER, ul_MCS, ulsch_errors, ulsch_total_bytes, ulsch_current_bytes, ulsch_total_rbs, ulsch_current_rbs, ul_num_mac_sdu, SNR, slice2_max_ratio, ,
0,490,4,0010100000107XX,928c,1,1,26.328978,175.998016, ,61,21,-99,0,1,710,0,28,421,0,0,0, ,0.17480,22,46,56400184,0,580614,0,109921,3942391,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410238,421,3789182,10,138014,145,100, ,
1,490,7,0010100000107XX,928c,1,1,26.289503,175.990402, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.17480,22,46,56400184,0,580614,0,109921,3942391,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410659,0,3789192,0,138014,140,100, ,
2,490,9,0010100000107XX,928c,1,1,26.289503,175.990402, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.17480,22,46,56400184,0,580614,0,109921,3942391,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410659,0,3789192,0,138014,140,100, ,
3,490,11,0010100000107XX,928c,1,1,26.263218,175.990402, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.17480,22,46,56400184,0,580614,0,109921,3942391,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410659,0,3789192,0,138014,140,100, ,
4,490,13,0010100000107XX,928c,1,1,26.236959,175.990402, ,61,21,-99,0,1,715,0,28,0,0,0,0, ,0.17480,22,46,56400184,0,580614,0,109921,3942391,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410751,0,3789192,0,138014,160,100, ,
5,490,16,0010100000107XX,928c,1,1,26.197622,175.814453, ,61,21,-99,0,1,715,0,28,421,0,10,0, ,0.17480,22,46,56400184,0,580614,0,109921,3942391,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410751,421,3789202,10,138014,160,100, ,
7,490,18,0010100000107XX,928c,1,1,26.448523,175.937042, ,61,21,-99,0,1,715,0,28,842,0,0,0, ,0.17480,22,46,56400712,0,580619,0,109922,3942401,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410751,421,3789212,10,138014,160,100, ,
8,491,0,0010100000107XX,928c,1,1,26.435297,175.937042, ,61,21,-99,0,1,715,0,28,842,0,0,0, ,0.17480,22,46,56400712,0,580619,0,109922,3942401,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410751,421,3789212,10,138014,160,100, ,
9,491,2,0010100000107XX,928c,1,1,26.408867,175.937042, ,61,21,-99,0,1,715,0,28,842,0,0,0, ,0.17480,22,46,56400712,0,580619,0,109922,3942401,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410751,421,3789212,10,138014,160,100, ,
10,491,4,0010100000107XX,928c,1,1,26.382463,175.937042, ,61,21,-99,0,1,704,0,28,842,0,0,0, ,0.17480,22,46,56400712,0,580619,0,109922,3942401,1,1,000000,0,0,0,000000, ,0.12822,18,4,101410751,421,3789212,10,138014,155,100, ,
11,491,6,0010100000107XX,928c,1,1,26.356087,176.182037, ,61,21,-99,0,1,710,0,28,421,0,0,0, ,0.17480,22,46,56400712,0,580619,0,109922,3942401,1,1,000000,0,0,0,000000, ,0.12822,18,4,101411172,0,3789212,0,138014,155,100, ,
