Timestamp, Frame, Slot, IMSI, RNTI, UID, UE_No, DL_THR, UL_THR, ,PH_dB, PCMAX_dBm, AVG_RSRP, CQI, RI, raw_rssi, ul_rssi, dl_max_mcs, sched_ul_bytes, estimated_ul_buffer, num_total_bytes, dl_pdus_total, ,dl_BLER, dl_MCS, dlsch_errors, dlsch_total_bytes, dlsch_current_bytes, dlsch_total_rbs, dlsch_current_rbs, dl_num_mac_sdu, dl_lc4_bytes, dl_lc4_id, dl_lc4_sst,dl_lc4_sd, dl_lc5_bytes, dl_lc5_id, dl_lc5_sst,dl_lc5_sd, ,ul_BLER, ul_MCS, ulsch_errors, ulsch_total_bytes, ulsch_current_bytes, ulsch_total_rbs, ulsch_current_rbs, ul_num_mac_sdu, SNR, slice2_max_ratio, ,
0,1002,3,0010100000107XX,3da5,0,1,41.155457,177.151688, ,61,21,-99,0,1,720,0,28,842,0,0,0, ,0.16987,22,20,6384727,0,66091,0,12290,489694,1,1,000000,0,0,0,000000, ,0.13802,9,0,12032339,421,434097,10,14662,170,100, ,
1,1002,5,0010100000107XX,3da5,0,1,41.114307,177.273605, ,61,21,-99,0,1,715,0,28,92,0,58,0, ,0.16987,22,20,6384727,0,66091,0,12290,489694,1,1,000000,0,0,0,000000, ,0.13802,9,0,12033181,92,434107,10,14663,145,100, ,
2,1002,8,0010100000107XX,3da5,0,1,41.337070,177.142334, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.16987,22,20,6385255,0,66096,0,12291,489752,1,1,000000,0,0,0,000000, ,0.13802,9,0,12033181,0,434107,0,14663,145,100, ,
3,1002,10,0010100000107XX,3da5,0,1,41.316402,177.142334, ,61,21,-99,0,1,715,0,28,92,0,3,0, ,0.16987,22,20,6385255,0,66096,0,12291,489752,1,1,000000,0,0,0,000000, ,0.13802,9,0,12033181,0,434107,0,14663,145,100, ,
4,1002,12,0010100000107XX,3da5,0,1,41.538960,177.142334, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12033181,0,434107,0,14663,145,100, ,
5,1002,14,0010100000107XX,3da5,0,1,41.497429,177.142334, ,61,21,-99,0,1,715,0,28,0,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12033273,0,434107,0,14663,150,100, ,
6,1002,17,0010100000107XX,3da5,0,1,41.435211,177.087234, ,61,21,-99,0,1,715,0,28,842,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12033273,421,434127,10,14663,150,100, ,
7,1002,19,0010100000107XX,3da5,0,1,41.435211,177.087234, ,61,21,-99,0,1,715,0,28,842,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12033273,421,434127,10,14663,150,100, ,
8,1003,1,0010100000107XX,3da5,0,1,41.393784,177.087234, ,61,21,-99,0,1,715,0,28,842,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12033273,421,434127,10,14663,150,100, ,
9,1003,3,0010100000107XX,3da5,0,1,41.352398,177.087234, ,61,21,-99,0,1,715,0,28,842,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12033273,421,434127,10,14663,150,100, ,
10,1003,5,0010100000107XX,3da5,0,1,41.311054,177.209183, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034115,92,434137,10,14664,160,100, ,
11,1003,7,0010100000107XX,3da5,0,1,41.269753,177.077988, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034115,0,434137,0,14664,160,100, ,
12,1003,9,0010100000107XX,3da5,0,1,41.269753,177.077988, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034115,0,434137,0,14664,160,100, ,
14,1003,12,0010100000107XX,3da5,0,1,41.207874,177.077988, ,61,21,-99,0,1,715,0,28,92,0,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034115,0,434137,0,14664,160,100, ,
15,1003,14,0010100000107XX,3da5,0,1,41.166676,177.077988, ,61,21,-99,0,1,720,0,28,0,276,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034207,0,434137,0,14665,160,100, ,
16,1003,16,0010100000107XX,3da5,0,1,41.125519,177.039444, ,61,21,-99,0,1,720,0,28,698,276,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034207,421,434178,10,14665,160,100, ,
17,1003,18,0010100000107XX,3da5,0,1,41.104954,177.161423, ,61,21,-99,0,1,720,0,28,1119,276,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034207,421,434188,10,14665,160,100, ,
18,1004,0,0010100000107XX,3da5,0,1,41.084400,177.161423, ,61,21,-99,0,1,720,0,28,1119,276,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034207,421,434188,10,14665,160,100, ,
19,1004,2,0010100000107XX,3da5,0,1,41.043324,177.161423, ,61,21,-99,0,1,720,0,28,1119,276,0,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034207,421,434188,10,14665,160,100, ,
20,1004,3,0010100000107XX,3da5,0,1,41.022800,177.161423, ,61,21,-99,0,1,704,0,28,842,0,3,0, ,0.16987,22,20,6385783,0,66101,0,12292,489755,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034484,421,434188,10,14666,145,100, ,
21,1004,4,0010100000107XX,3da5,0,1,41.266289,177.161423, ,61,21,-99,0,1,715,0,28,421,0,58,0, ,0.16987,22,20,6386311,528,66106,5,12293,489758,1,1,000000,0,0,0,000000, ,0.13802,9,0,12034905,421,434188,10,14666,145,100, ,
22,1004,9,0010100000107XX,3da5,0,1,41.468155,177.152069, ,61,21,-99,0,1,710,0,28,92,0,0,0, ,0.16987,22,20,6386839,0,66111,0,12294,489816,1,1,000000,0,0,0,000000, ,0.13802,9,0,12035326,0,434198,0,14666,140,100, ,
23,1004,11,0010100000107XX,3da5,0,1,41.426693,177.152069, ,61,21,-99,0,1,710,0,28,92,0,0,0, ,0.16987,22,20,6386839,0,66111,0,12294,489816,1,1,000000,0,0,0,000000, ,0.13802,9,0,12035326,0,434198,0,14666,140,100, ,
24,1004,13,0010100000107XX,3da5,0,1,41.385277,177.152069, ,61,21,-99,0,1,724,0,28,0,0,0,0, ,0.16987,22,20,6386839,0,66111,0,12294,489816,1,1,000000,0,0,0,000000, ,0.13802,9,0,12035418,0,434198,0,14666,180,100, ,
26,1004,16,0010100000107XX,3da5,0,1,41.323227,176.974960, ,61,21,-99,0,1,724,0,28,421,0,0,0, ,0.16987,22,20,6386839,0,66111,0,12294,489816,1,1,000000,0,0,0,000000, ,0.13802,9,0,12035418,421,434208,10,14666,180,100, ,
27,1004,18,0010100000107XX,3da5,0,1,41.302563,177.096970, ,61,21,-99,0,1,724,0,28,842,0,0,0, ,0.16987,22,20,6386839,0,66111,0,12294,489816,1,1,000000,0,0,0,000000, ,0.13802,9,0,12035418,421,434218,10,14666,180,100, ,
28,1005,0,0010100000107XX,3da5,0,1,41.281910,177.096970, ,61,21,-99,0,1,724,0,28,842,0,0,0, ,0.16987,22,20,6386839,0,66111,0,12294,489816,1,1,000000,0,0,0,000000, ,0.13802,9,0,12035418,421,434218,10,14666,180,100, ,
29,1005,2,0010100000107XX,3da5,0,1,41.240639,177.096970, ,61,21,-99,0,1,724,0,28,842,0,0,0, ,0.16987,22,20,6386839,0,66111,0,12294,489816,1,1,000000,0,0,0,000000, ,0.13802,9,0,12035418,421,434218,10,14666,180,100, ,
